hydrocal=Sample name,opc,T,h,d2HP,d18OP,d2HL,d18OL,d2HA,d18OA,d2HR,d18OR,LEL,comment,,     E/I  f average,EkH,EkO,EplusH,EplusO,EH,EO,CkH,CkO,aplusH,aplusO,dstarH,dstarO,mH,mO,x,EI_H,EI_O,f_H,f_O,,,
ÀÆø‚ÀÆ«∞∆⁄L01,3,31.2,0.72,-40.52,-6.87,-33.98,-4.45,-104.4001,-15.3323,-39.6,-6.62,2.91,test for known dR and LEL,,0.1227,3.5,3.976,72.3539,8.848,70.972,12.7464,12.5,14.2,1.0724,1.0088,-6.4652,2.4137,2.2893,2.4905,1,0.1038,0.1416,0.0889,0.1142,,0.1227,
ÀÆø‚ÀÆ«∞∆⁄L02,3,31.2,0.72,-40.52,-6.87,-33.25,-4.5,-104.4001,-15.3323,-39.6,-6.62,2.91,test for known dR and LEL,,0.1281,3.5,3.976,72.3539,8.848,70.972,12.7464,12.5,14.2,1.0724,1.0088,-6.4652,2.4137,2.2893,2.4905,1,0.1186,0.1376,0.0996,0.1116,,0.1281,
ÀÆø‚ÀÆ«∞∆⁄L03,3,31.2,0.72,-40.52,-6.87,-32.75,-4.31,-104.4001,-15.3323,-39.6,-6.62,2.91,test for known dR and LEL,,0.141,3.5,3.976,72.3539,8.848,70.972,12.7464,12.5,14.2,1.0724,1.0088,-6.4652,2.4137,2.2893,2.4905,1,0.1291,0.1529,0.107,0.1215,,0.141,
ÀÆø‚ÀÆ÷–∆⁄L01,3,35.3,0.44,-40.52,-6.87,-31.86,-3.64,-101.1165,-15.0298,-39.6,-6.62,2.91,test for known dR and LEL,,0.1449,7,7.952,68.4366,8.5381,71.053,16.4179,12.5,14.2,1.0684,1.0085,71.9934,23.1472,0.6507,0.7458,1,0.1281,0.1617,0.1158,0.1416,,0.1449,
ÀÆø‚ÀÆ÷–∆⁄L02,3,35.3,0.44,-40.52,-6.87,-31.85,-3.9,-101.1165,-15.0298,-39.6,-6.62,2.91,test for known dR and LEL,,0.13775,7,7.952,68.4366,8.5381,71.053,16.4179,12.5,14.2,1.0684,1.0085,71.9934,23.1472,0.6507,0.7458,1,0.1283,0.1472,0.1159,0.1304,,0.13775,
ÀÆø‚ÀÆ÷–∆⁄L03,3,35.3,0.44,-40.52,-6.87,-31.8,-3.92,-101.1165,-15.0298,-39.6,-6.62,2.91,test for known dR and LEL,,0.1376,7,7.952,68.4366,8.5381,71.053,16.4179,12.5,14.2,1.0684,1.0085,71.9934,23.1472,0.6507,0.7458,1,0.1291,0.1461,0.1166,0.1295,,0.1376,
ÀÆø‚ÀÆ∫Û∆⁄L01,3,32.5,0.51,-40.52,-6.87,-30.29,-3.24,-103.3403,-15.2348,-39.6,-6.62,2.91,test for known dR and LEL,,0.1721,6.125,6.958,71.0863,8.7481,72.4934,15.6302,12.5,14.2,1.0711,1.0087,45.2334,15.9,0.8818,0.9948,1,0.1536,0.1906,0.1342,0.1602,,0.1721,
ÀÆø‚ÀÆ∫Û∆⁄L02,3,32.5,0.51,-40.52,-6.87,-29.77,-3.33,-103.3403,-15.2348,-39.6,-6.62,2.91,test for known dR and LEL,,0.1738,6.125,6.958,71.0863,8.7481,72.4934,15.6302,12.5,14.2,1.0711,1.0087,45.2334,15.9,0.8818,0.9948,1,0.1625,0.1851,0.1409,0.1562,,0.1738,
ÀÆø‚ÀÆ∫Û∆⁄L03,3,32.5,0.51,-40.52,-6.87,-29.56,-3.24,-103.3403,-15.2348,-39.6,-6.62,2.91,test for known dR and LEL,,0.1784,6.125,6.958,71.0863,8.7481,72.4934,15.6302,12.5,14.2,1.0711,1.0087,45.2334,15.9,0.8818,0.9948,1,0.1662,0.1906,0.1436,0.1602,,0.1784,
∫˛ÀÆ7.19L04-7,3,33.1,0.6,-40.11,-6.82,-36.16,-5.5,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0601,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0566,0.0636,0.0531,0.0591,,0.0601,
∫˛ÀÆ7.19L08-11,3,33.1,0.6,-40.11,-6.82,-36.12,-5.6,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0578,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0572,0.0584,0.0536,0.0545,,0.0578,
∫˛ÀÆ7.19L12-13,3,33.1,0.6,-40.11,-6.82,-36.38,-5.49,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0587,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0532,0.0642,0.0501,0.0595,,0.0587,
∫˛ÀÆ10.7L04-7,3,17.8,0.889,-40.11,-6.82,-38.11,-5.7,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.0471,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.026,0.0682,0.0235,0.0532,,0.0471,
∫˛ÀÆ10.7L08-11,3,17.8,0.889,-40.11,-6.82,-37.19,-5.39,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.07185,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0415,0.1022,0.0356,0.0724,,0.07185,
∫˛ÀÆ10.7L12-13,3,17.8,0.889,-40.11,-6.82,-37.23,-5.41,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.07015,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0407,0.0996,0.0351,0.0711,,0.07015,
C01,3,33.1,0.6,-40.11,-6.82,-35.62,-5.36,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.068,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0649,0.0711,0.0604,0.0654,,,
C02,3,33.1,0.6,-40.11,-6.82,-37.52,-5.87,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.04045,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0362,0.0447,0.0347,0.0423,,,
C03,3,33.1,0.6,-40.11,-6.82,-35.79,-5.39,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0659,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0623,0.0695,0.0581,0.0641,,,
C04,3,33.1,0.6,-40.11,-6.82,-35.7,-5.39,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0666,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0637,0.0695,0.0593,0.0641,,,
D01,3,33.1,0.6,-40.11,-6.82,-35.42,-5.33,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0704,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0681,0.0727,0.0632,0.0668,,,
D02,3,33.1,0.6,-40.11,-6.82,-36.44,-5.7,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0528,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0523,0.0533,0.0493,0.05,,,
D03,3,33.1,0.6,-40.11,-6.82,-36.46,-5.75,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.05135,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.052,0.0507,0.049,0.0478,,,
D04,3,33.1,0.6,-40.11,-6.82,-36.15,-5.62,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.05705,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0567,0.0574,0.0532,0.0536,,,
L01,3,33.1,0.6,-40.11,-6.82,-37,-5.76,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.047,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0438,0.0502,0.0417,0.0473,,,
L02,3,33.1,0.6,-40.11,-6.82,-35.75,-5.23,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0705,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0629,0.0781,0.0587,0.0714,,,
C01,3,17.8,0.889,-40.11,-6.82,-38.42,-5.77,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.0416,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0213,0.0619,0.0196,0.0493,,,
C02,3,17.8,0.889,-40.11,-6.82,-38.08,-5.65,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.0497,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0264,0.073,0.0239,0.0562,,,
C03,3,17.8,0.889,-40.11,-6.82,-37.91,-5.64,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.05155,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0291,0.074,0.0261,0.0568,,,
C04,3,17.8,0.889,-40.11,-6.82,-38.03,-5.73,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.04635,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0272,0.0655,0.0245,0.0515,,,
D01,3,17.8,0.889,-40.11,-6.82,-37.38,-5.3,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.07615,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.038,0.1143,0.0331,0.0785,,,
D02,3,17.8,0.889,-40.11,-6.82,-37.47,-5.51,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.06205,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0364,0.0877,0.0319,0.0647,,,
D03,3,17.8,0.889,-40.11,-6.82,-36.83,-5.31,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.0806,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0483,0.1129,0.0406,0.0778,,,
D04,3,17.8,0.889,-40.11,-6.82,-37.07,-5.45,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.0692,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0437,0.0947,0.0373,0.0685,,,
L01,3,17.8,0.889,-40.11,-6.82,-37.03,-5.42,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.07145,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0445,0.0984,0.0378,0.0704,,,
L02,3,17.8,0.889,-40.11,-6.82,-37.43,-5.41,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.06835,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0371,0.0996,0.0324,0.0711,,,
S01 2024.7.15,3,31.2,0.72,-66.08,-9.89,-38.5,-6.17,-79.5649,-11.8667,-39.6,-6.62,7.5,test for known dR and LEL,,0.12755,3.5,3.976,72.3539,8.848,70.972,12.7464,12.5,14.2,1.0724,1.0088,21.0858,5.9418,2.2893,2.4905,0.6001,0.2022,0.1233,0.1531,0.102,,0.12755,0.107415
2024.7.24,3,35,0.48,-66.08,-9.89,-43.99,-6.84,-77.6347,-11.6969,-39.6,-6.62,7.5,test for known dR and LEL,,0.14765,6.5,7.384,68.7153,8.5603,70.7971,15.8716,12.5,14.2,1.0687,1.0086,81.9459,22.0997,0.7772,0.8801,0.6001,0.2257,0.1198,0.1877,0.1076,,0.14765,
2024.8.3,3,33.3,0.55,-66.08,-9.89,-45.16,-7.06,-78.486,-11.7719,-39.6,-6.62,7.5,test for known dR and LEL,,0.12715,5.625,6.39,70.3182,8.6874,71.3234,15.0026,12.5,14.2,1.0703,1.0087,58.8207,15.9403,1.0506,1.1722,0.6001,0.1915,0.105,0.1601,0.0942,,0.12715,
2024.8.20,3,33.1,0.52,-66.08,-9.89,-47.6,-7.39,-78.5874,-11.7808,-39.6,-6.62,7.5,test for known dR and LEL,,0.11625,6,6.816,70.5094,8.7025,71.8653,15.4434,12.5,14.2,1.0705,1.0087,69.1752,18.4665,0.9221,1.0364,0.6001,0.1716,0.0933,0.1473,0.0852,,0.11625,
2024.8.31,3,35.3,0.44,-66.08,-9.89,-49.47,-7.65,-77.4865,-11.6839,-39.6,-6.62,7.5,test for known dR and LEL,,0.1154,7,7.952,68.4366,8.5381,71.053,16.4179,12.5,14.2,1.0684,1.0085,100.1741,26.6228,0.6507,0.7458,0.6001,0.1706,0.0876,0.1494,0.0814,,0.1154,
2024.9.9,3,33.4,0.56,-66.08,-9.89,-50.02,-7.74,-78.4354,-11.7675,-39.6,-6.62,7.5,test for known dR and LEL,,0.0959,5.5,6.248,70.2228,8.6798,71.1151,14.8531,12.5,14.2,1.0702,1.0087,55.6191,15.158,1.0974,1.2216,0.6001,0.1385,0.0769,0.121,0.0708,,0.0959,
2024.9.16,3,32.6,0.46,-66.08,-9.89,-49.63,-7.67,-78.8422,-11.8032,-39.6,-6.62,7.5,test for known dR and LEL,,0.11005,6.75,7.668,70.9898,8.7405,73.0343,16.3327,12.5,14.2,1.071,1.0087,95.0133,24.5753,0.7078,0.8101,0.6001,0.1607,0.085,0.1412,0.0789,,0.11005,
2024.9.24,3,29.8,0.57,-66.08,-9.89,-49.61,-7.66,-80.3014,-11.9312,-39.6,-6.62,7.5,test for known dR and LEL,,0.09515,5.375,6.106,73.7463,8.9573,74.0563,14.9838,12.5,14.2,1.0737,1.009,57.0317,14.7438,1.1391,1.2727,0.6001,0.1356,0.0782,0.1185,0.0718,,0.09515,
2024.9.29,3,32.5,0.51,-66.08,-9.89,-50.34,-7.66,-78.8934,-11.8077,-39.6,-6.62,7.5,test for known dR and LEL,,0.10155,6.125,6.958,71.0863,8.7481,72.4934,15.6302,12.5,14.2,1.0711,1.0087,73.731,19.4354,0.8818,0.9948,0.6001,0.1439,0.0827,0.1267,0.0764,,0.10155,
2024.10.13,3,19.9,0.861,-66.08,-9.89,-50.71,-7.84,-85.9354,-12.4202,-39.6,-6.62,7.5,test for known dR and LEL,,0.0375,1.7375,1.9738,84.4719,9.7869,79.6297,11.6659,12.5,14.2,1.0845,1.0098,7.2173,1.1445,5.552,6.0248,0.6001,0.0478,0.0379,0.0415,0.0335,,0.0375,
