row_index,sample_name,water_type,T,h,LEL,EI_H,EI_O,EI_average,f_H,f_O,f_average,teaching_use
1,水库水前期L01,reservoir,31.2,0.72,2.91,0.1038,0.1416,0.1227,0.0889,0.1142,0.1016,"Compare water type, date, LEL, and evaporation strength."
2,水库水前期L02,reservoir,31.2,0.72,2.91,0.1186,0.1376,0.1281,0.0996,0.1116,0.1056,"Compare water type, date, LEL, and evaporation strength."
3,水库水前期L03,reservoir,31.2,0.72,2.91,0.1291,0.1529,0.141,0.107,0.1215,0.1143,"Compare water type, date, LEL, and evaporation strength."
4,水库水中期L01,reservoir,35.3,0.44,2.91,0.1281,0.1617,0.1449,0.1158,0.1416,0.1287,"Compare water type, date, LEL, and evaporation strength."
5,水库水中期L02,reservoir,35.3,0.44,2.91,0.1283,0.1472,0.1378,0.1159,0.1304,0.1232,"Compare water type, date, LEL, and evaporation strength."
6,水库水中期L03,reservoir,35.3,0.44,2.91,0.1291,0.1461,0.1376,0.1166,0.1295,0.1231,"Compare water type, date, LEL, and evaporation strength."
7,水库水后期L01,reservoir,32.5,0.51,2.91,0.1536,0.1906,0.1721,0.1342,0.1602,0.1472,"Compare water type, date, LEL, and evaporation strength."
8,水库水后期L02,reservoir,32.5,0.51,2.91,0.1625,0.1851,0.1738,0.1409,0.1562,0.1486,"Compare water type, date, LEL, and evaporation strength."
9,水库水后期L03,reservoir,32.5,0.51,2.91,0.1662,0.1906,0.1784,0.1436,0.1602,0.1519,"Compare water type, date, LEL, and evaporation strength."
10,湖水7.19L04-7,lake,33.1,0.6,2.52,0.0566,0.0636,0.0601,0.0531,0.0591,0.0561,"Compare water type, date, LEL, and evaporation strength."
11,湖水7.19L08-11,lake,33.1,0.6,2.52,0.0572,0.0584,0.0578,0.0536,0.0545,0.0541,"Compare water type, date, LEL, and evaporation strength."
12,湖水7.19L12-13,lake,33.1,0.6,2.52,0.0532,0.0642,0.0587,0.0501,0.0595,0.0548,"Compare water type, date, LEL, and evaporation strength."
13,湖水10.7L04-7,lake,17.8,0.889,2.52,0.026,0.0682,0.0471,0.0235,0.0532,0.0384,"Compare water type, date, LEL, and evaporation strength."
14,湖水10.7L08-11,lake,17.8,0.889,2.52,0.0415,0.1022,0.0719,0.0356,0.0724,0.054,"Compare water type, date, LEL, and evaporation strength."
15,湖水10.7L12-13,lake,17.8,0.889,2.52,0.0407,0.0996,0.0702,0.0351,0.0711,0.0531,"Compare water type, date, LEL, and evaporation strength."
16,C01,other,33.1,0.6,2.52,0.0649,0.0711,0.068,0.0604,0.0654,0.0629,"Compare water type, date, LEL, and evaporation strength."
17,C02,other,33.1,0.6,2.52,0.0362,0.0447,0.0405,0.0347,0.0423,0.0385,"Compare water type, date, LEL, and evaporation strength."
18,C03,other,33.1,0.6,2.52,0.0623,0.0695,0.0659,0.0581,0.0641,0.0611,"Compare water type, date, LEL, and evaporation strength."
19,C04,other,33.1,0.6,2.52,0.0637,0.0695,0.0666,0.0593,0.0641,0.0617,"Compare water type, date, LEL, and evaporation strength."
20,D01,other,33.1,0.6,2.52,0.0681,0.0727,0.0704,0.0632,0.0668,0.065,"Compare water type, date, LEL, and evaporation strength."
21,D02,other,33.1,0.6,2.52,0.0523,0.0533,0.0528,0.0493,0.05,0.0497,"Compare water type, date, LEL, and evaporation strength."
22,D03,other,33.1,0.6,2.52,0.052,0.0507,0.0514,0.049,0.0478,0.0484,"Compare water type, date, LEL, and evaporation strength."
23,D04,other,33.1,0.6,2.52,0.0567,0.0574,0.0571,0.0532,0.0536,0.0534,"Compare water type, date, LEL, and evaporation strength."
24,L01,other,33.1,0.6,2.52,0.0438,0.0502,0.047,0.0417,0.0473,0.0445,"Compare water type, date, LEL, and evaporation strength."
25,L02,other,33.1,0.6,2.52,0.0629,0.0781,0.0705,0.0587,0.0714,0.0651,"Compare water type, date, LEL, and evaporation strength."
26,C01,other,17.8,0.889,2.52,0.0213,0.0619,0.0416,0.0196,0.0493,0.0345,"Compare water type, date, LEL, and evaporation strength."
27,C02,other,17.8,0.889,2.52,0.0264,0.073,0.0497,0.0239,0.0562,0.0401,"Compare water type, date, LEL, and evaporation strength."
28,C03,other,17.8,0.889,2.52,0.0291,0.074,0.0516,0.0261,0.0568,0.0415,"Compare water type, date, LEL, and evaporation strength."
29,C04,other,17.8,0.889,2.52,0.0272,0.0655,0.0464,0.0245,0.0515,0.038,"Compare water type, date, LEL, and evaporation strength."
30,D01,other,17.8,0.889,2.52,0.038,0.1143,0.0762,0.0331,0.0785,0.0558,"Compare water type, date, LEL, and evaporation strength."
31,D02,other,17.8,0.889,2.52,0.0364,0.0877,0.0621,0.0319,0.0647,0.0483,"Compare water type, date, LEL, and evaporation strength."
32,D03,other,17.8,0.889,2.52,0.0483,0.1129,0.0806,0.0406,0.0778,0.0592,"Compare water type, date, LEL, and evaporation strength."
33,D04,other,17.8,0.889,2.52,0.0437,0.0947,0.0692,0.0373,0.0685,0.0529,"Compare water type, date, LEL, and evaporation strength."
34,L01,other,17.8,0.889,2.52,0.0445,0.0984,0.0715,0.0378,0.0704,0.0541,"Compare water type, date, LEL, and evaporation strength."
35,L02,other,17.8,0.889,2.52,0.0371,0.0996,0.0684,0.0324,0.0711,0.0518,"Compare water type, date, LEL, and evaporation strength."
36,S01 2024.7.15,other,31.2,0.72,7.5,0.2022,0.1233,0.1628,0.1531,0.102,0.1276,"Compare water type, date, LEL, and evaporation strength."
37,2024.7.24,other,35,0.48,7.5,0.2257,0.1198,0.1728,0.1877,0.1076,0.1477,"Compare water type, date, LEL, and evaporation strength."
38,2024.8.3,other,33.3,0.55,7.5,0.1915,0.105,0.1483,0.1601,0.0942,0.1272,"Compare water type, date, LEL, and evaporation strength."
39,2024.8.20,other,33.1,0.52,7.5,0.1716,0.0933,0.1325,0.1473,0.0852,0.1163,"Compare water type, date, LEL, and evaporation strength."
40,2024.8.31,other,35.3,0.44,7.5,0.1706,0.0876,0.1291,0.1494,0.0814,0.1154,"Compare water type, date, LEL, and evaporation strength."
41,2024.9.9,other,33.4,0.56,7.5,0.1385,0.0769,0.1077,0.121,0.0708,0.0959,"Compare water type, date, LEL, and evaporation strength."
42,2024.9.16,other,32.6,0.46,7.5,0.1607,0.085,0.1229,0.1412,0.0789,0.1101,"Compare water type, date, LEL, and evaporation strength."
43,2024.9.24,other,29.8,0.57,7.5,0.1356,0.0782,0.1069,0.1185,0.0718,0.0952,"Compare water type, date, LEL, and evaporation strength."
44,2024.9.29,other,32.5,0.51,7.5,0.1439,0.0827,0.1133,0.1267,0.0764,0.1016,"Compare water type, date, LEL, and evaporation strength."
45,2024.10.13,other,19.9,0.861,7.5,0.0478,0.0379,0.0429,0.0415,0.0335,0.0375,"Compare water type, date, LEL, and evaporation strength."
